S.No.,Sigma_VH,Sigma_VV,C11,C22,Eig_1,Eig_2,,q,mc,tan Qc,Qc,,p1,p2,log2p1,log2p2,,Hc
1,0.023366066,0.09868199,0.032670293,0.008120852,0.0328185548489839,0.0079725901510161,,0.236781463365301,0.617100562421084,0.710989761871101,35.4124372949945,,0.808550281210542,0.191449718789458,-0.306590601710973,-2.3849625537975,,0.704494327477835
2,0.016497504,0.09848688,0.02739962,0.009673566,0.0275603059670238,0.00951288003297615,,0.167509662200691,0.713047921359478,0.805345771520821,38.8460841300781,,0.856523960679739,0.143476039320261,-0.223434489593472,-2.80111826976425,,0.593270348992453
3,0.022602458,0.12494738,0.043430727,0.00874411,0.0434531608884853,0.00872167611151474,,0.18089581390182,0.693629511135078,0.787637969175231,38.2253109184365,,0.846814755567539,0.153185244432461,-0.239881686667692,-2.70665075852106,,0.617754309897984
4,0.021427074,0.09240273,0.032552097,0.009462656,0.0329288635336361,0.00908588946636392,,0.231887889026655,0.623524362740711,0.717858165301146,35.6729844824644,,0.811762181370356,0.188237818629644,-0.300870966012594,-2.40937158760621,,0.697770523600625
5,0.025874713,0.10035494,0.029458426,0.010975571,0.031023261942028,0.00941073505797199,,0.257831981166049,0.590037485090766,0.681155674271069,34.2609562907318,,0.795018742545383,0.204981257454617,-0.33093922259283,-2.28643609253926,,0.731779429943017
6,0.017722232,0.09029858,0.032977242,0.008882266,0.033797666523581,0.00806184147641898,,0.196262576886591,0.671873749662241,0.766980017351431,37.4874852715996,,0.835936874831121,0.164063125168879,-0.258534092541213,-2.60767707976555,,0.643941832493795
7,0.015827686,0.11454703,0.04356771,0.007847443,0.0437050194262782,0.00771013357372183,,0.138176310638521,0.757197001295865,0.843144805303675,40.135738417164,,0.878598500647933,0.121401499352068,-0.186724057452634,-3.04214185538244,,0.533376059397892
8,0.016769415,0.07417888,0.0319199885,0.0080338015,0.0325771244548184,0.00737666554518161,,0.226067244477134,0.631231899399544,0.72599210203437,35.9793533066076,,0.815615949699772,0.184384050300228,-0.294038106771974,-2.43921423059501,,0.68957436908981
9,0.016769415,0.07417888,0.0323532075,0.0079888175,0.0329118864439023,0.00743013855609769,,0.226067244477134,0.631231899399544,0.72599210203437,35.9793533066076,,0.815615949699772,0.184384050300228,-0.294038106771974,-2.43921423059501,,0.68957436908981
10,0.016769415,0.07417888,0.031820935,0.008261378,0.0324247796768791,0.00765753332312086,,0.226067244477134,0.631231899399544,0.72599210203437,35.9793533066076,,0.815615949699772,0.184384050300228,-0.294038106771974,-2.43921423059501,,0.68957436908981
11,0.017002596,0.10722796,0.034911938,0.007208616,0.0350195324764355,0.00710102152356445,,0.158564948918174,0.726273526458338,0.817021701111441,39.2495681422978,,0.863136763229169,0.136863236770831,-0.212338923663821,-2.86919312273372,,0.575964588976702
12,0.017030295,0.10974304,0.04226466,0.006569455,0.0425948350043813,0.00623927999561871,,0.15518337199334,0.731326859863709,0.821402188227847,39.3997580390768,,0.865663429931854,0.134336570068146,-0.208121880963587,-2.89607599582545,,0.569212417254688
13,0.01262338,0.09778466,0.036461398,0.0052970676,0.0365087989689566,0.00524966663104343,,0.129093663566453,0.771332232688851,0.854554070232244,40.5156792908337,,0.885666116344426,0.114333883655574,-0.175165169333175,-3.12867507508282,,0.512851427272741
14,0.016455386,0.106606245,0.039105937,0.00642373,0.0392412845563278,0.0062883824436722,,0.154356679573509,0.732566749420053,0.822470237081667,39.4362795571533,,0.866283374710027,0.133716625289974,-0.207089064836793,-2.90274924477197,,0.567543647026287
15,0.012940057,0.098613605,0.033342108,0.005906882,0.0334570532906258,0.00579193670937417,,0.131219794672348,0.76800300827417,0.851896200342856,40.4275511843448,,0.884001504137085,0.115998495862915,-0.177879270509041,-3.10782199664816,,0.517748219705668
16,0.013200693,0.099313356,0.029495604,0.0069813933,0.0296146599552795,0.00686233734472047,,0.132919614558187,0.765350316385823,0.849765568105752,40.3567377271791,,0.882675158192911,0.117324841807089,-0.180045499470426,-3.09141957975266,,0.521622002880797
17,0.018077325,0.12046044,0.035846416,0.008111189,0.0369188753096116,0.00703872969038835,,0.150068561927883,0.739026755628691,0.827992187564033,39.6244910506434,,0.869513377814345,0.130486622185655,-0.201719870739119,-2.93802618920889,,0.558771239501504
18,0.019317277,0.12148434,0.0414006,0.0071390257,0.0418379066562244,0.00670171904377563,,0.159010428833873,0.725610011992973,0.816443239139619,39.2296866800738,,0.862805005996486,0.137194994003514,-0.212893547845006,-2.86570025374154,,0.576845347952962
19,0.019489858,0.116189755,0.04368996,0.007234926,0.0437073826252309,0.00721750337476908,,0.167741622314291,0.712707641641048,0.805041289664017,38.8355004148647,,0.856353820820524,0.143646179179476,-0.223721094901341,-2.79940847550896,,0.59370874588642
20,0.021164179,0.12173675,0.04740484,0.008803941,0.04771173307207,0.00849704792793001,,0.173852012642033,0.70379228255402,0.796990199146476,38.5545020025172,,0.85189614127701,0.14810385872299,-0.23125053955113,-2.75531886555027,,0.60507479831208
,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!
,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!
21,0.012713635,0.09982449,0.032315657,0.008889363,0.0330166298666085,0.00818839013339153,,0.127359879324202,0.774056392000489,0.856715585330885,40.5871791627815,,0.887028196000244,0.112971803999756,-0.172948130627993,-3.14596535150025,,0.508815249392272
22,0.0112252645,0.08115394,0.03197772,0.0068547567,0.0324678222160514,0.00636465448394864,,0.13832063483301,0.756974211658209,0.842962356764051,40.1296278829274,,0.878487105829105,0.121512894170895,-0.186906983944464,-3.04081868336585,,0.533694054249335
23,0.012423859,0.073415846,0.032519642,0.0061146687,0.0327189600452449,0.00591535065475505,,0.169225850778863,0.710533511269639,0.803091018287411,38.7676347530195,,0.85526675563482,0.14473324436518,-0.225553631603665,-2.78853175648609,,0.596501770854884
24,0.013262324,0.08212671,0.03218453,0.009388115,0.0325764867667685,0.00899615823323149,,0.161486123089553,0.721931894183979,0.813222665232295,39.1187908924693,,0.860965947091989,0.139034052908011,-0.215971917582381,-2.84648981665303,,0.581703482337239
25,0.012691732,0.08070345,0.039948158,0.007170474,0.0401196837999421,0.0069989482000579,,0.157263809663651,0.728214416885017,0.818709402272349,39.3075092571741,,0.864107208442509,0.135892791557491,-0.210717778455592,-2.87945916461045,,0.573380495365185
26,0.014719784,0.069510095,0.03733028,0.008355672,0.0378342954551898,0.00785165654481024,,0.21176469403473,0.650485453030272,0.745804967293972,36.7157587322685,,0.825242726515136,0.174757273484864,-0.27710957694005,-2.51657559235006,,0.668472551855115
27,0.015046815,0.07232557,0.033168934,0.0075011714,0.0332853893223199,0.00738471607768005,,0.208042812521215,0.655570464283423,0.750918224974576,36.9035534742722,,0.827785232141711,0.172214767858289,-0.272671584064947,-2.53771923204581,,0.662746238949934
28,0.01311509,0.091422364,0.07691395,0.005255785,0.0782831644039475,0.00388657059605255,,0.143456036643288,0.74908342420507,0.836447181443864,39.9107013344929,,0.874541712102535,0.125458287897465,-0.193400898380995,-2.9947203151437,,0.544849636261969
29,0.007618799,0.0814212,0.032415476,0.0055426476,0.0327446343746247,0.00521348922537525,,0.0935726690346003,0.828867945068148,0.897755256483779,41.9160754906342,,0.914433972534074,0.0855660274659257,-0.129049092148629,-3.54681807696652,,0.421494006975746
30,0.010122148,0.08558216,0.026598407,0.005406517,0.0267847184608557,0.00522020553914432,,0.118274042160189,0.788470378992762,0.867955676901839,40.9565323137646,,0.89423518949638,0.10576481050362,-0.161273775675323,-3.24106839330085,,0.487007669798555
31,0.008333223,0.08547383,0.033838745,0.005903714,0.0338966222459274,0.00584583675407257,,0.0974944377711868,0.822332698160766,0.893099461642232,41.7680240638345,,0.911166349080383,0.0888336509196169,-0.134213628033745,-3.49274990488293,,0.432564667252236
32,0.01945115,0.08608786,0.034389854,0.007397282,0.0349263063318777,0.00686082966812226,,0.225945330735367,0.631394116734656,0.726162043166777,35.9857290181756,,0.815697058367328,0.184302941632672,-0.293894645557634,-2.43984899708748,,0.689400345154019
33,0.017652294,0.07910653,0.0344282975,0.0064245475,0.0353141871962068,0.00553865780379324,,0.223145851549802,0.635127975511567,0.730059478406703,36.1316672270362,,0.817563987755784,0.182436012244216,-0.290596445371101,-2.45453755421165,,0.685377231999298
34,0.01497244,0.08992298,0.041518244,0.005179356,0.0419957154019596,0.00470188459804038,,0.166502933955258,0.714526334896223,0.80666626727574,38.8919478190532,,0.857263167448112,0.142736832551888,-0.222189935952526,-2.80857043152889,,0.59136169566508
35,0.021472314,0.10296267,0.047319375,0.013553704,0.04989331681866,0.01097976218134,,0.208544650211577,0.654883002998578,0.750229841172626,36.8783248307204,,0.827441501499289,0.172558498500711,-0.273270775088478,-2.53484256667809,,0.663524207696745
36,0.021741996,0.13227993,0.04206072,0.0122662075,0.0439960211662513,0.0103309063337487,,0.164363528163343,0.717676611835123,0.809467133427123,38.9890322623749,,0.858838305917561,0.141161694082439,-0.219541555152197,-2.82457944576032,,0.587273116939382
37,0.021949185,0.12918545,0.04191425,0.016194481,0.043812302355206,0.014296428644794,,0.169904466795603,0.709541297400163,0.802198168347783,38.7365221502367,,0.854770648700081,0.145229351299919,-0.226390725614315,-2.78359503896745,,0.597771849183946
38,0.022056902,0.11773281,0.042482823,0.013514484,0.0450772094869689,0.0109200975130311,,0.187347112499906,0.684427391909928,0.779007126498143,37.9188448651832,,0.842213695954964,0.157786304045036,-0.247741758295523,-2.6639561109798,,0.628987290786144
39,0.023300165,0.09895864,0.043608792,0.013462525,0.0458575548131279,0.0112137621868721,,0.235453569289149,0.618838659514135,0.712856183104121,35.4834059909095,,0.809419329757068,0.190580670242932,-0.305040792443312,-2.39152629441621,,0.702684597861469
